State,Count,Population,Per_Capita,Per_100000
CA,276,39144818,7.05074168437825E-06,0.705074168437825
TX,174,27469114,6.33438705012473E-06,0.633438705012473
FL,91,20271272,4.48911148742911E-06,0.448911148742911
AZ,60,6828065,8.78726256999604E-06,0.878726256999604
OK,50,3911338,1.27833493295645E-05,1.27833493295645
GA,47,10214860,4.60113990793804E-06,0.460113990793804
OH,46,11613423,3.9609338263146E-06,0.39609338263146
LA,43,4670724,9.20628151010422E-06,0.920628151010421
CO,38,5456574,6.96407672653207E-06,0.696407672653207
VA,35,8382993,4.17511979313355E-06,0.417511979313355
NV,32,2890845,1.10694277970628E-05,1.10694277970628
NC,32,10042802,3.18636173450398E-06,0.318636173450398
IL,31,12859995,2.41057636492083E-06,0.241057636492083
SC,31,4896146,6.33151053910566E-06,0.633151053910566
AL,31,4858979,6.37994113578182E-06,0.637994113578182
PA,29,12802503,2.26518205072867E-06,0.226518205072867
MO,29,6083672,4.76685791081439E-06,0.476685791081439
TN,29,6600299,4.39374034418744E-06,0.439374034418744
OR,27,4028977,6.70145299911119E-06,0.670145299911119
NM,27,2085109,1.29489633395664E-05,1.29489633395664
WA,26,7170351,3.62604285341122E-06,0.362604285341122
NY,26,19795791,1.31341051236599E-06,0.131341051236599
IN,26,6619680,3.92768230488483E-06,0.392768230488483
KY,24,4425092,5.42361605137249E-06,0.542361605137249
MD,24,6006401,3.99573721434849E-06,0.399573721434849
MN,23,5489594,4.18974517969817E-06,0.418974517969817
NJ,21,8958013,2.34426987324086E-06,0.234426987324086
MI,21,9922576,2.11638590624048E-06,0.211638590624048
MS,19,2992333,6.34956069394683E-06,0.634956069394683
KS,17,2911641,5.83863189177512E-06,0.583863189177512
WV,17,1844128,9.21844904475178E-06,0.921844904475178
WI,14,5771337,2.42578106251636E-06,0.242578106251636
MA,14,6794422,2.06051375672574E-06,0.206051375672574
NE,14,1896190,7.3832263644466E-06,0.73832263644466
UT,13,2995919,4.339236140897E-06,0.4339236140897
ID,10,1654930,6.04255164871022E-06,0.604255164871022
WY,8,586107,1.3649384839287E-05,1.3649384839287
IA,8,3123899,2.56090225708322E-06,0.256090225708322
DE,7,945934,7.40009345260874E-06,0.740009345260874
DC,7,672228,1.04131336391819E-05,1.04131336391819
AK,6,738432,8.12532501300052E-06,0.812532501300052
SD,6,858469,6.98918656352181E-06,0.698918656352181
MT,6,1032949,5.80861204183363E-06,0.580861204183362
AR,5,2978204,1.67886417451592E-06,0.167886417451592
NH,5,1330608,3.75768069934947E-06,0.375768069934947
ME,4,1329328,3.00903915361747E-06,0.300903915361747
CT,4,3590886,1.11393121363363E-06,0.111393121363363
HI,2,1431603,1.39703535128105E-06,0.139703535128105
ND,1,756927,1.32113136405492E-06,0.132113136405492
VT,1,626042,1.59733691988716E-06,0.159733691988716
